지역,2시간이상_소요환자수
강원,136711
경기,958530
경남,186256
경북,151033
광주,128763
대구,169242
대전,132243
부산,154394
서울,947190
울산,54077
인천,236540
전남,72225
전북,160805
제주,99650
충남,164330
충북,91401
