지역,2시간이상_소요환자수
강원,128610
경기,829945
경남,184613
경북,154328
광주,110006
대구,152341
대전,129868
부산,130497
서울,898656
울산,51623
인천,204657
전남,68271
전북,143401
제주,98810
충남,159773
충북,66511
