지역,2시간이상_소요환자수
강원,115477
경기,720832
경남,145517
경북,123824
광주,99422
대구,146072
대전,101519
부산,125019
서울,749030
세종,17694
울산,45335
인천,180820
전남,65404
전북,137346
제주,75569
충남,132803
충북,75308
