지역,2시간이상_소요환자수
강원,125140
경기,866732
경남,176350
경북,159804
광주,111526
대구,133127
대전,135416
부산,133209
서울,901169
울산,54675
인천,208928
전남,67667
전북,111809
제주,98707
충남,158863
충북,69450
