지역,2시간이상_소요환자수
강원,136080
경기,900504
경남,193830
경북,160239
광주,117517
대구,163231
대전,135496
부산,124897
서울,964357
울산,56996
인천,226765
전남,72616
전북,151919
제주,103233
충남,167797
충북,71971
