지역,2시간이상_소요환자수
강원,112655
경기,683553
경남,142263
경북,112169
광주,96867
대구,125499
대전,100705
부산,118402
서울,744183
세종,4037
울산,43660
인천,176825
전남,66015
전북,142444
제주,75159
충남,122984
충북,70571
