지역,2시간이상_소요환자수
강원,83246
경기,709458
경남,144689
경북,139979
광주,82915
대구,106609
대전,84296
부산,93953
서울,580685
세종,19461
울산,78807
인천,189492
전남,65036
전북,155586
제주,62058
충남,134502
충북,91447
