지역,2시간이상_소요환자수
강원,126628
경기,752305
경남,156272
경북,134938
광주,99023
대구,154527
대전,104870
부산,125234
서울,797805
세종,20809
울산,45652
인천,208071
전남,63845
전북,155912
제주,79587
충남,151264
충북,73491
