"시점","시군구별(1)",소아청소년과
"2017.4/4","전북",197
"2017.4/4","전남",151
"2017.4/4","경북",207
"2017.4/4","경남",340
"2017.4/4","제주",58
"2018.1/4","전체",5655
"2018.1/4","서울",1259
"2018.1/4","부산",408
"2018.1/4","대구",335
"2018.1/4","인천",299
"2018.1/4","광주",221
"2018.1/4","대전",200
"2018.1/4","울산",112
"2018.1/4","세종",36
"2018.1/4","경기",1390
"2018.1/4","강원",129
"2018.1/4","충북",138
"2018.1/4","충남",169
"2018.1/4","전북",201
"2018.1/4","전남",152
"2018.1/4","경북",206
"2018.1/4","경남",337
"2018.1/4","제주",63
"2018.2/4","전체",5664
"2018.2/4","서울",1245
"2018.2/4","부산",417
"2018.2/4","대구",332
"2018.2/4","인천",299
"2018.2/4","광주",222
"2018.2/4","대전",206
"2018.2/4","울산",113
"2018.2/4","세종",41
"2018.2/4","경기",1412
"2018.2/4","강원",125
"2018.2/4","충북",135
"2018.2/4","충남",169
"2018.2/4","전북",196
"2018.2/4","전남",147
"2018.2/4","경북",204
"2018.2/4","경남",338
"2018.2/4","제주",63
"2018.3/4","전체",5662
"2018.3/4","서울",1236
"2018.3/4","부산",418
"2018.3/4","대구",335
"2018.3/4","인천",298
"2018.3/4","광주",222
"2018.3/4","대전",207
"2018.3/4","울산",113
"2018.3/4","세종",42
"2018.3/4","경기",1409
"2018.3/4","강원",129
"2018.3/4","충북",134
"2018.3/4","충남",168
"2018.3/4","전북",195
"2018.3/4","전남",146
"2018.3/4","경북",204
"2018.3/4","경남",342
"2018.3/4","제주",64
"2018.4/4","전체",5670
"2018.4/4","서울",1241
"2018.4/4","부산",416
"2018.4/4","대구",336
"2018.4/4","인천",297
"2018.4/4","광주",226
"2018.4/4","대전",211
"2018.4/4","울산",112
"2018.4/4","세종",43
"2018.4/4","경기",1414
"2018.4/4","강원",126
"2018.4/4","충북",137
"2018.4/4","충남",167
"2018.4/4","전북",192
"2018.4/4","전남",147
"2018.4/4","경북",204
"2018.4/4","경남",337
"2018.4/4","제주",64
"2019.1/4","전체",5726
"2019.1/4","서울",1252
"2019.1/4","부산",419
"2019.1/4","대구",341
"2019.1/4","인천",297
"2019.1/4","광주",222
"2019.1/4","대전",214
"2019.1/4","울산",112
"2019.1/4","세종",41
"2019.1/4","경기",1431
"2019.1/4","강원",131
"2019.1/4","충북",136
"2019.1/4","충남",171
"2019.1/4","전북",194
"2019.1/4","전남",154
"2019.1/4","경북",208
"2019.1/4","경남",339
"2019.1/4","제주",64
"2019.2/4","전체",5825
"2019.2/4","서울",1275
"2019.2/4","부산",426
"2019.2/4","대구",337
"2019.2/4","인천",305
"2019.2/4","광주",229
"2019.2/4","대전",217
"2019.2/4","울산",115
"2019.2/4","세종",44
"2019.2/4","경기",1463
