
"시점","시군구별(1)",소아청소년과
"2018.2/4","경기",671
"2018.2/4","강원",49
"2018.2/4","충북",53
"2018.2/4","충남",63
"2018.2/4","전북",74
"2018.2/4","전남",27
"2018.2/4","경북",72
"2018.2/4","경남",105
"2018.2/4","제주",29
"2018.3/4","전체",2224
"2018.3/4","서울",511
"2018.3/4","부산",137
"2018.3/4","대구",114
"2018.3/4","인천",148
"2018.3/4","광주",43
"2018.3/4","대전",64
"2018.3/4","울산",36
"2018.3/4","세종",22
"2018.3/4","경기",671
"2018.3/4","강원",53
"2018.3/4","충북",52
"2018.3/4","충남",64
"2018.3/4","전북",75
"2018.3/4","전남",27
"2018.3/4","경북",73
"2018.3/4","경남",106
"2018.3/4","제주",28
"2018.4/4","전체",2221
"2018.4/4","서울",509
"2018.4/4","부산",137
"2018.4/4","대구",112
"2018.4/4","인천",148
"2018.4/4","광주",43
"2018.4/4","대전",64
"2018.4/4","울산",36
"2018.4/4","세종",22
"2018.4/4","경기",675
"2018.4/4","강원",53
"2018.4/4","충북",50
"2018.4/4","충남",62
"2018.4/4","전북",76
"2018.4/4","전남",27
"2018.4/4","경북",74
"2018.4/4","경남",105
"2018.4/4","제주",28
"2019.1/4","전체",2221
"2019.1/4","서울",502
"2019.1/4","부산",138
"2019.1/4","대구",113
"2019.1/4","인천",148
"2019.1/4","광주",44
"2019.1/4","대전",64
"2019.1/4","울산",37
"2019.1/4","세종",22
"2019.1/4","경기",678
"2019.1/4","강원",54
"2019.1/4","충북",51
"2019.1/4","충남",62
"2019.1/4","전북",77
"2019.1/4","전남",27
"2019.1/4","경북",71
"2019.1/4","경남",105
"2019.1/4","제주",28
"2019.2/4","전체",2224
"2019.2/4","서울",505
"2019.2/4","부산",136
"2019.2/4","대구",112
"2019.2/4","인천",150
"2019.2/4","광주",46
"2019.2/4","대전",63
"2019.2/4","울산",36
"2019.2/4","세종",21
"2019.2/4","경기",681
"2019.2/4","강원",54
"2019.2/4","충북",51
"2019.2/4","충남",62
"2019.2/4","전북",76
"2019.2/4","전남",27
"2019.2/4","경북",71
"2019.2/4","경남",104
"2019.2/4","제주",29
"2019.3/4","전체",2232
"2019.3/4","서울",500
"2019.3/4","부산",135
"2019.3/4","대구",114
"2019.3/4","인천",150
"2019.3/4","광주",47
"2019.3/4","대전",62
"2019.3/4","울산",36
"2019.3/4","세종",21
"2019.3/4","경기",689
"2019.3/4","강원",54
"2019.3/4","충북",51
"2019.3/4","충남",63
"2019.3/4","전북",76
"2019.3/4","전남",27
"2019.3/4","경북",73
"2019.3/4","경남",103
"2019.3/4","제주",31
"2019.4/4","전체",2227
"2019.4/4","서울",501
"2019.4/4","부산",134
"2019.4/4","대구",115
"2019.4/4","인천",149
"2019.4/4","광주",47
"2019.4/4","대전",62
"2019.4/4","울산",36
"2019.4/4","세종",21
"2019.4/4","경기",687
"2019.4/4","강원",54
"2019.4/4","충북",51
"2019.4/4","충남",62
"2019.4/4","전북",76
"2019.4/4","전남",27
"2019.4/4","경북",73
"2019.4/4","경남",100
"2019.4/4","제주",32
"2020.1/4","전체",2212
"2020.1/4","서울",494
"2020.1/4","부산",133
"2020.1/4","대구",117
"2020.1/4","인천",147
"2020.1/4","광주",47
"2020.1/4","대전",62
"2020.1/4","울산",34
"2020.1/4","세종",21
"2020.1/4","경기",686
"2020.1/4","강원",57
"2020.1/4","충북",51
"2020.1/4","충남",62
"2020.1/4","전북",72
"2020.1/4","전남",26
"2020.1/4","경북",72
"2020.1/4","경남",99
"2020.1/4","제주",32
"2020.2/4","전체",2194
"2020.2/4","서울",491
"2020.2/4","부산",129
"2020.2/4","대구",117
"2020.2/4","인천",142
"2020.2/4","광주",46
"2020.2/4","대전",61
