지역,인구수
서울,9335444
부산,3257256
대구,2369335
인천,3058033
광주,1444171
대전,1467093
울산,1106895
세종,390156
경기,13914479
강원,1522881
충북,1646328
충남,2238243
전북,1758836
전남,1778338
경북,2578999
경남,3264243
제주,674817
