시점,지역,소아청소년과의원수,출산율,출생아수,아동인구수(0-14세),소아청소년과전문의수,의원1개당전문의수,아동1만명당전문의수
2018,인천광역시,149.75,1.006,20087,384919,298.25,1.991652754590985,7.748383426123419
2018,전라남도,27.0,1.24,11238,225639,148.0,5.481481481481482,6.559149792367455
2018,전북특별자치도,74.75,1.044,10001,228427,196.0,2.6220735785953178,8.580421753995806
2018,제주특별자치도,28.5,1.22,4781,98261,63.5,2.2280701754385963,6.4623808021493785
2018,충청남도,63.0,1.186,14380,288606,168.25,2.6706349206349205,5.8297471293043115
2018,충청북도,51.75,1.172,10586,205759,136.0,2.6280193236714977,6.609674424934024
2019,강원특별자치도,54.0,1.082,8283,174132,131.75,2.439814814814815,7.566099281005214
2019,경기도,683.75,0.943,83198,1828203,1465.75,2.143692870201097,8.017435700521222
2019,경상남도,103.0,1.046,19250,442744,344.5,3.3446601941747574,7.7810201832210035
2019,경상북도,72.0,1.089,14472,308133,207.25,2.8784722222222223,6.725991698389981
2019,광주광역시,46.0,0.913,8364,201037,228.0,4.956521739130435,11.341195899262324
2019,대구광역시,113.5,0.932,13233,294899,338.5,2.9823788546255505,11.478506200427944
2019,대전광역시,62.75,0.883,8410,191833,212.5,3.3864541832669324,11.077343314236861
2019,부산광역시,135.75,0.827,17049,371581,426.25,3.139963167587477,11.471253912336746
2019,서울특별시,502.0,0.717,53673,1033250,1266.25,2.522410358565737,12.255020566174693
2019,세종특별자치시,21.25,1.472,3819,69570,43.0,2.023529411764706,6.180825068276556
2019,울산광역시,36.25,1.084,7539,159310,114.5,3.1586206896551725,7.187244994036783
2019,인천광역시,149.25,0.94,18522,375242,304.5,2.040201005025126,8.114763272767973
2019,전라남도,27.0,1.234,10832,218428,159.0,5.888888888888889,7.279286538355889
2019,전북특별자치도,76.25,0.971,8971,219684,194.5,2.5508196721311474,8.853626117514247
2019,제주특별자치도,30.0,1.145,4500,96889,68.25,2.275,7.0441432980008045
2019,충청남도,62.25,1.112,13228,281196,169.25,2.718875502008032,6.018933412993072
2019,충청북도,51.0,1.05,9333,200741,135.75,2.661764705882353,6.762445140753509
2020,강원특별자치도,56.5,1.036,7835,170474,135.0,2.3893805309734515,7.919096167157455
2020,경기도,680.25,0.878,77737,1806962,1518.5,2.2322675486953325,8.403607823518149
2020,경상남도,98.5,0.945,16823,429622,350.25,3.5558375634517767,8.152515467085019
2020,경상북도,72.25,1.003,12873,298665,201.75,2.792387543252595,6.755060017075988
2020,광주광역시,45.0,0.811,7318,194798,226.5,5.033333333333333,11.627429439727308
2020,대구광역시,115.25,0.807,11193,284858,339.25,2.943600867678959,11.909442599470612
2020,대전광역시,60.75,0.805,7481,184449,206.75,3.403292181069959,11.209060499108153
2020,부산광역시,129.25,0.747,15058,363164,420.75,3.25531914893617,11.58567479155423
2020,서울특별시,486.5,0.642,47445,995397,1273.75,2.618191161356629,12.796401837658744
2020,세종특별자치시,21.75,1.277,3468,71602,48.75,2.2413793103448274,6.8084690371777326
2020,울산광역시,33.75,0.984,6617,154483,111.5,3.303703703703704,7.217622651036036
2020,인천광역시,142.25,0.829,16040,363137,300.0,2.10896309314587,8.261344891872765
2020,전라남도,25.0,1.145,9738,212331,155.5,6.22,7.323471372526856
2020,전북특별자치도,70.5,0.909,8165,211829,191.25,2.7127659574468086,9.028508844398075
2020,제주특별자치도,33.0,1.021,3989,95789,71.75,2.1742424242424243,7.490421655931265
2020,충청남도,64.75,1.029,11950,273804,173.0,2.671814671814672,6.318388336182086
2020,충청북도,51.0,0.983,8607,196295,132.75,2.6029411764705883,6.7627805089278885
2021,강원특별자치도,54.75,0.979,7357,166366,145.0,2.6484018264840183,8.715723164588917
2021,경기도,661.0,0.853,76139,1773397,1525.75,2.308245083207262,8.60354449680472
2021,경상남도,92.25,0.903,15562,414503,357.75,3.8780487804878048,8.630818112293518
2021,경상북도,70.25,0.966,12045,289359,197.5,2.811387900355872,6.8254313845430765
2021,광주광역시,43.25,0.896,7956,189086,232.0,5.364161849710983,12.269549305606972
2021,대구광역시,113.0,0.785,10661,274910,344.25,3.0464601769911503,12.522280018915282
2021,대전광역시,58.5,0.81,7414,177243,210.75,3.6025641025641026,11.890455476379884
2021,부산광역시,132.75,0.728,14446,352908,432.0,3.2542372881355934,12.241150668162808
2021,서울특별시,459.75,0.626,45531,951562,1311.0,2.8515497553017943,13.77734714080638
2021,세종특별자치시,22.25,1.277,3570,73055,58.0,2.606741573033708,7.939223872424886
2021,울산광역시,33.5,0.94,6127,148703,114.5,3.417910447761194,7.6999119049380305
2021,인천광역시,136.75,0.778,14947,354400,307.0,2.2449725776965264,8.66252821670429
2021,전라남도,26.25,1.017,8430,204976,161.25,6.142857142857143,7.866774646787917
2021,전북특별자치도,66.0,0.85,7475,203363,194.25,2.9431818181818183,9.551885052836553
2021,제주특별자치도,34.0,0.951,3728,94338,71.75,2.110294117647059,7.60563081685005
2021,충청남도,64.25,0.963,10984,265572,180.0,2.801556420233463,6.7778229632641995
2021,충청북도,53.75,0.949,8190,190805,142.5,2.6511627906976742,7.468357747438485
2022,강원특별자치도,56.5,0.968,7278,160725,154.5,2.734513274336283,9.612692487167521
2022,경기도,658.75,0.839,75323,1716426,1588.5,2.411385199240987,9.254695512652454
2022,경상남도,92.0,0.838,14017,393068,373.5,4.059782608695652,9.502172652060203
2022,경상북도,70.5,0.93,11311,275711,192.0,2.723404255319149,6.963813558399918
2022,광주광역시,40.75,0.844,7446,181150,234.25,5.748466257668712,12.93127242616616
2022,대구광역시,115.25,0.757,10134,264447,354.25,3.0737527114967462,13.395878947388324
2022,대전광역시,58.25,0.842,7677,170784,211.5,3.630901287553648,12.38406408094435
2022,부산광역시,135.0,0.723,14134,340589,444.75,3.2944444444444443,13.058260836374634
2022,서울특별시,454.0,0.593,42602,907819,1369.25,3.015969162995595,15.082852418819169
2022,세종특별자치시,22.0,1.121,3209,73508,62.5,2.840909090909091,8.502475920988191
2022,울산광역시,32.0,0.848,5399,141660,114.5,3.578125,8.08273330509671
2022,인천광역시,139.75,0.747,14464,346269,313.25,2.2415026833631484,9.046434997068753
2022,전라남도,26.0,0.969,7888,195765,157.25,6.048076923076923,8.032590095267285
2022,전북특별자치도,65.0,0.817,7032,192857,206.0,3.169230769230769,10.681489393695848
2022,제주특별자치도,34.5,0.919,3599,91485,73.75,2.13768115942029,8.061430835656118
2022,충청남도,65.25,0.909,10221,255585,187.25,2.8697318007662833,7.326329792436959
2022,충청북도,54.25,0.871,7452,182746,148.25,2.7327188940092166,8.112352664353802
2023,강원특별자치도,57.0,0.893,6688,154210,156.5,2.745614035087719,10.148498800337203
2023,경기도,674.75,0.766,68817,1658941,1640.5,2.4312708410522417,9.888838723016672
2023,경상남도,93.5,0.799,13049,372574,363.75,3.890374331550802,9.763161143826462
2023,경상북도,69.25,0.86,10186,260851,195.5,2.8231046931407944,7.494700039486143
2023,광주광역시,42.5,0.706,6172,172804,245.25,5.770588235294118,14.192379806023007
2023,대구광역시,115.25,0.702,9410,256706,350.25,3.0390455531453364,13.644012995411092
2023,대전광역시,57.25,0.787,7194,164070,216.75,3.7860262008733625,13.21082464801609
2023,부산광역시,136.25,0.664,12866,328332,456.0,3.3467889908256883,13.888381272614305
2023,서울특별시,452.25,0.552,39456,868576,1438.0,3.179657269209508,16.555833916663598
2023,세종특별자치시,25.75,0.971,2761,71439,66.75,2.592233009708738,9.34363582916894
2023,울산광역시,33.5,0.814,5082,135258,118.25,3.529850746268657,8.74255127238315
2023,인천광역시,140.5,0.694,13659,339832,341.0,2.4270462633451957,10.034369923962428
2023,전라남도,25.5,0.972,7828,187326,154.75,6.068627450980392,8.260999540907296
2023,전북특별자치도,65.75,0.78,6622,183173,207.25,3.1520912547528517,11.31444044700911
2023,제주특별자치도,36.5,0.827,3222,87913,72.0,1.9726027397260273,8.189915029631567
2023,충청남도,65.25,0.842,9436,245984,182.5,2.796934865900383,7.419181735397424
2023,충청북도,56.0,0.886,7580,175872,151.25,2.700892857142857,8.600004548762737
2024,강원특별자치도,56.25,0.889,6592,147995,156.25,2.7777777777777777,10.557789114497112
2024,경기도,696.25,0.789,71285,1609956,1687.75,2.424057450628366,10.483205752206892
2024,경상남도,96.5,0.82,13067,354839,360.0,3.7305699481865284,10.14544624463489
2024,경상북도,72.25,0.897,10333,248205,197.75,2.737024221453287,7.967204528514736
2024,광주광역시,41.5,0.699,6034,165076,234.25,5.644578313253012,14.190433497298214
2024,대구광역시,116.25,0.754,10103,249281,360.75,3.1032258064516127,14.471620380213494
