지역,기관수,상위2개기관수
서울,68,29
부산,39,8
대구,28,5
인천,21,8
광주,24,5
대전,11,5
울산,13,2
세종,2,0
경기,91,31
강원,28,7
충북,21,4
충남,22,6
전북,23,6
전남,50,5
경북,37,10
경남,61,8
제주,7,5
