지역,기관수,상위2개기관수
서울,67,32
부산,37,8
대구,22,6
인천,20,9
광주,25,6
대전,10,5
울산,14,2
세종,1,0
경기,91,31
강원,26,7
충북,19,4
충남,21,8
전북,23,8
전남,47,5
경북,39,9
경남,53,9
제주,6,5
