지역,기관수,상위2개기관수
서울,66,31
부산,35,9
대구,20,6
인천,23,10
광주,25,6
대전,11,5
울산,13,2
세종,2,1
경기,96,37
강원,26,7
충북,21,6
충남,21,8
전북,21,10
전남,49,5
경북,38,9
경남,51,9
제주,6,5
