지역,인구수
서울,9472127
부산,3324335
대구,2387911
인천,2957044
광주,1475262
대전,1479740
울산,1120753
세종,366227
경기,13652529
강원,1521890
충북,1624764
충남,2175960
전북,1787053
전남,1778124
경북,2635314
경남,3305931
제주,673107
