지역,인구수
서울,9805506
부산,3440484
대구,2461002
인천,2913024
광주,1501557
대전,1535445
울산,1166033
세종,242507
경기,12671956
강원,1521751
충북,1603404
충남,2132566
전북,1833168
전남,1796017
경북,2682169
경남,3339633
제주,623332
