지역,인구수
서울,9904312
부산,3448737
대구,2466052
인천,2890451
광주,1502881
대전,1538394
울산,1166615
세종,204088
경기,12479061
강원,1518040
충북,1589347
충남,2107802
전북,1834114
전남,1799044
경북,2680294
경남,3334524
제주,605619
