지역,인구수
서울,9417469
부산,3295760
대구,2366852
인천,2989125
광주,1468972
대전,1473662
울산,1110516
세종,382589
경기,13717827
강원,1528037
충북,1624993
충남,2193214
전북,1774248
전남,1771431
경북,2620373
경남,3280829
제주,676375
