지역,인구수
서울,9384512
부산,3279604
대구,2379188
인천,3025950
광주,1457090
대전,1470336
울산,1107432
세종,386261
경기,13815367
강원,1528014
충북,1641481
충남,2216332
전북,1768491
전남,1776668
경북,2589880
경남,3271148
제주,676767
