지역,인구수
서울,9586195
부산,3349016
대구,2410700
인천,2945454
광주,1477573
대전,1488435
울산,1135423
세종,353933
경기,13511676
강원,1521763
충북,1632088
충남,2176636
전북,1802766
전남,1788807
경북,2644757
경남,3333056
제주,670858
