지역,인구수
서울,9741871
부산,3416918
대구,2453041
인천,2925967
광주,1496172
대전,1525849
울산,1157077
세종,276589
경기,12851601
강원,1521386
충북,1611009
충남,2162426
전북,1826174
전남,1792319
경북,2677058
경남,3345293
제주,641757
