지역,기관수,상위2개기관수
서울,67,31
부산,39,8
대구,27,6
인천,19,8
광주,25,6
대전,11,5
울산,14,2
세종,2,0
경기,91,31
강원,27,7
충북,19,4
충남,21,8
전북,23,8
전남,50,5
경북,38,9
경남,60,8
제주,6,5
