지역,기관수,상위2개기관수
서울,65,31
부산,36,9
대구,21,6
인천,25,11
광주,26,6
대전,11,6
울산,12,5
세종,2,1
경기,96,43
강원,26,7
충북,21,7
충남,21,8
전북,21,10
전남,43,5
경북,37,9
경남,51,10
제주,6,5
