지역,2시간이상_소요환자수
강원,113436
경기,778144
경남,171629
경북,155296
광주,107648
대구,123301
대전,120468
부산,142206
서울,827086
울산,52866
인천,188898
전남,66385
전북,102801
제주,85845
충남,124814
충북,64693
